,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
0,8.72,34.64,195.69,FINANCIAL,1000110014
1,6.7,27.51,157.12,FINANCIAL,1000280001
2,8.73,32.24,177.5,FINANCIAL,1000640008
3,11.85,33.3,161.95,FINANCIAL,1000650017
4,6.86,17.95,78.15,SOUTHBRIDGE,1000940001
5,7.37,29.72,168.74,SOUTHBRIDGE,1001000026
6,10.78,42.59,192.03,SOUTHBRIDGE,1001010001
7,10.12,36.11,196.22,SOUTHBRIDGE,1001060007
8,10.77,33.41,189.03,CIVIC CENTER,1001170001
9,8.97,39.7,231.67,CIVIC CENTER,1001340025
10,8.72,34.64,195.7,TRIBECA,1001370005
11,11.02,28.82,134.38,TRIBECA,1001370035
12,7.55,32.35,187.25,TRIBECA,1001400001
13,9.72,33.2,177.28,TRIBECA,1001430001
14,11.91,41.94,226.73,TRIBECA,1001430004
15,10.86,31.95,159.22,TRIBECA,1001430009
16,11.46,35.41,180.82,TRIBECA,1001430021
17,12.61,46.72,247.85,TRIBECA,1001440001
18,6.02,24.8,140.94,TRIBECA,1001440023
19,7.24,29.8,170.34,CIVIC CENTER,1001460021
20,10.46,34.88,184.39,CIVIC CENTER,1001500010
21,10.77,37.88,204.68,CIVIC CENTER,1001610001
22,11.98,45.93,189.04,CHINATOWN,1001720001
23,13.6,45.02,157.47,CIVIC CENTER,1001780025
24,9.21,32.17,173.34,TRIBECA,1001790006
25,7.55,32.35,187.24,TRIBECA,1001790011
26,11.46,35.41,180.82,TRIBECA,1001790017
27,10.12,36.11,191.89,TRIBECA,1001790021
28,8.72,34.64,195.7,TRIBECA,1001790056
29,8.53,37.23,216.69,TRIBECA,1001870030
30,9.42,32.13,171.48,TRIBECA,1001880001
31,10.05,22.25,90.0,TRIBECA,1001890025
32,6.26,24.4,135.87,TRIBECA,1001890030
33,6.86,34.47,169.73,TRIBECA,1002100026
34,10.81,27.15,123.37,TRIBECA,1002140025
35,11.03,34.47,176.97,TRIBECA,1002190026
36,7.24,29.8,170.34,SOHO,1002290020
37,8.97,39.7,229.19,SOHO,1002290022
38,7.83,32.65,187.4,SOHO,1002300015
39,10.96,37.79,202.57,SOHO,1002300031
40,6.86,34.47,208.45,SOHO,1002320009
41,6.94,17.46,73.62,LOWER EAST SIDE,1002430056
42,7.12,13.92,44.54,LOWER EAST SIDE,1002440019
43,8.3,18.76,69.58,LOWER EAST SIDE,1002530001
44,7.24,13.73,42.31,LOWER EAST SIDE,1002590001
45,6.61,18.08,64.08,LOWER EAST SIDE,1002590071
46,9.2,22.43,97.74,LOWER EAST SIDE,1002630008
47,8.01,20.12,87.59,LOWER EAST SIDE,1002670001
48,9.88,29.06,144.81,CHINATOWN,1002899001
49,10.52,30.94,154.16,LOWER EAST SIDE,1002990027
50,8.73,22.55,102.17,LOWER EAST SIDE,1003110013
51,9.2,22.43,97.74,LOWER EAST SIDE,1003150001
52,8.02,16.95,62.03,LOWER EAST SIDE,1003210001
53,8.59,24.29,117.5,LOWER EAST SIDE,1003310001
54,9.13,22.94,100.42,LOWER EAST SIDE,1003310065
55,6.08,12.55,40.87,LOWER EAST SIDE,1003330001
56,6.94,17.46,71.76,LOWER EAST SIDE,1003410070
57,12.04,35.42,176.46,LOWER EAST SIDE,1003430062
58,9.19,21.31,63.81,LOWER EAST SIDE,1003440017
59,6.05,13.81,47.35,LOWER EAST SIDE,1003440154
60,8.93,32.83,180.45,LOWER EAST SIDE,1003440173
61,11.93,30.07,136.99,LOWER EAST SIDE,1003480002
62,13.38,32.56,144.86,LOWER EAST SIDE,1003480003
63,8.85,30.55,163.83,LOWER EAST SIDE,1003480007
64,6.09,18.43,57.83,LOWER EAST SIDE,1003480009
65,11.48,33.75,168.19,LOWER EAST SIDE,1003480011
66,7.09,16.88,58.07,LOWER EAST SIDE,1003480030
67,6.35,24.4,50.99,LOWER EAST SIDE,1003480073
68,6.57,15.35,54.17,LOWER EAST SIDE,1003490014
69,9.35,28.94,147.91,LOWER EAST SIDE,1003500057
70,8.85,30.55,163.82,LOWER EAST SIDE,1003540027
71,6.05,13.81,50.66,LOWER EAST SIDE,1003540031
72,7.09,16.88,67.95,LOWER EAST SIDE,1003550039
73,10.94,34.17,175.4,LOWER EAST SIDE,1003550040
74,6.72,17.79,77.82,ALPHABET CITY,1003720055
75,11.07,34.6,90.16,ALPHABET CITY,1003730021
76,6.57,15.35,58.15,ALPHABET CITY,1003730040
77,6.57,15.35,59.32,ALPHABET CITY,1003730046
78,7.09,16.88,65.1,ALPHABET CITY,1003730049
79,6.05,13.81,50.68,ALPHABET CITY,1003740006
80,6.57,15.35,59.32,ALPHABET CITY,1003740065
81,8.85,26.73,135.0,ALPHABET CITY,1003750030
82,7.09,16.88,67.88,ALPHABET CITY,1003760005
83,10.54,31.93,161.48,ALPHABET CITY,1003760014
84,10.25,32.02,164.38,ALPHABET CITY,1003760016
85,10.25,32.02,164.38,ALPHABET CITY,1003760018
86,10.25,32.02,164.39,ALPHABET CITY,1003760019
87,6.35,24.4,135.19,ALPHABET CITY,1003770016
88,8.25,17.14,61.9,ALPHABET CITY,1003770026
89,12.88,39.94,204.27,ALPHABET CITY,1003770059
90,12.89,35.84,173.32,ALPHABET CITY,1003770062
91,11.71,34.98,175.68,ALPHABET CITY,1003770067
92,14.23,37.24,173.72,ALPHABET CITY,1003790011
93,8.9,32.12,175.32,ALPHABET CITY,1003790012
94,6.72,17.79,64.92,ALPHABET CITY,1003790015
95,8.87,32.58,178.99,ALPHABET CITY,1003790017
96,9.25,25.56,122.95,ALPHABET CITY,1003790045
97,6.98,13.81,44.62,ALPHABET CITY,1003820100
98,10.0,33.08,174.27,ALPHABET CITY,1003850056
99,7.45,28.63,93.3,ALPHABET CITY,1003860020
100,10.4,34.25,180.06,ALPHABET CITY,1003860036
101,10.0,23.74,88.44,ALPHABET CITY,1003860058
102,7.09,16.88,67.89,ALPHABET CITY,1003870015
103,6.57,15.35,59.28,ALPHABET CITY,1003870037
104,8.91,19.99,80.01,ALPHABET CITY,1003870044
105,6.09,18.43,66.94,ALPHABET CITY,1003870141
106,6.46,14.67,54.69,ALPHABET CITY,1003890009
107,11.2,32.38,159.94,ALPHABET CITY,1003890017
108,11.14,28.63,132.04,ALPHABET CITY,1003890020
109,12.07,30.94,142.5,ALPHABET CITY,1003890021
110,8.38,34.43,196.67,ALPHABET CITY,1003890030
111,11.27,34.63,176.4,ALPHABET CITY,1003890054
112,7.68,22.3,107.84,ALPHABET CITY,1003900009
113,6.09,18.43,57.4,ALPHABET CITY,1003900037
114,9.23,23.41,76.5,ALPHABET CITY,1003900042
115,9.31,24.44,113.35,ALPHABET CITY,1003900055
116,7.64,26.03,138.85,ALPHABET CITY,1003910003
117,6.09,18.43,57.42,ALPHABET CITY,1003910014
118,6.35,24.4,76.52,ALPHABET CITY,1003910020
119,9.19,24.7,76.59,ALPHABET CITY,1003910021
120,9.64,28.34,141.21,ALPHABET CITY,1003910048
121,9.22,36.08,202.82,ALPHABET CITY,1003910056
122,10.7,31.48,156.9,ALPHABET CITY,1003910057
123,11.18,35.51,183.71,ALPHABET CITY,1003920036
124,6.09,18.43,87.53,ALPHABET CITY,1003930051
125,9.28,29.56,153.14,ALPHABET CITY,1003940052
126,8.5,20.74,89.03,ALPHABET CITY,1003950012
127,10.18,26.78,125.33,ALPHABET CITY,1003960020
128,6.09,18.43,87.51,ALPHABET CITY,1003970011
129,8.91,19.99,80.0,ALPHABET CITY,1003970012
130,9.19,24.7,95.24,ALPHABET CITY,1003970025
131,8.17,27.38,145.03,ALPHABET CITY,1003980008
132,8.71,34.13,110.67,ALPHABET CITY,1003980058
133,10.12,29.77,148.35,ALPHABET CITY,1003980066
134,9.23,23.41,101.48,ALPHABET CITY,1004000045
135,9.23,23.41,101.61,ALPHABET CITY,1004000047
136,10.69,36.86,197.53,ALPHABET CITY,1004010057
137,9.19,24.7,116.44,ALPHABET CITY,1004040010
138,11.93,35.74,179.78,ALPHABET CITY,1004040013
139,6.35,24.4,88.38,ALPHABET CITY,1004040021
140,9.23,23.41,76.62,ALPHABET CITY,1004050051
141,7.35,22.52,64.31,ALPHABET CITY,1004060013
